,Address,Total_Rec,Total_Sent,Balance,N_TX,N_Rec,N_Sent,Avg_Rec,Min_Rec,Max_Rec,Avg_Sent,Min_Sent,Max_Sent,Time_Between_FirstLast,Avg_Delta_Rec,Min_Delta_Rec,Max_Delta_Rec,Avg_Delta_Sent,Min_Delta_Sent,Max_Delta_Sent,Unique_Rec,Unique_Sent,Month
0,3N8So3mx41hxDHW7SgNyQYB24j7sG9sPg2,110316332,110316332,0,2,1,1,110316332.0,110316332,110316332,110316332.0,110316332,110316332,1531,0.0,0,0,0.0,0,0,1,3,1
1,bc1q887cel7trdh8l3en27uwdj3jkrdhq3c6eg8vd7,72190719,72154023,36696,172,100,105,425260.39,1995,2213872,445958.1238095238,8376,2213872,8339683,84239.22222222222,237,1453782,80103.70192307692,0,2140211,34,1158,1
2,3BEun88LDToCHYJ9rGbEkk8kS1RJsura8s,517733738,517733738,0,44,22,22,23533351.727272727,5877000,53682999,23533351.727272727,5877000,53682999,41585391,1947019.2857142857,186747,7425865,1979667.380952381,167500,6769371,168,61,1
3,34AQFUjJFmsXYk75xJjtQYSB8ipWiaPZKQ,972773,972773,0,2,1,1,972773.0,972773,972773,972773.0,972773,972773,528461,0.0,0,0,0.0,0,0,2,3,1
4,bc1q2eg28za6wlj5qgu6jukjhwmvgzwshruf2r7h8k,118771,118771,0,2,1,1,118771.0,118771,118771,118771.0,118771,118771,118418,0.0,0,0,0.0,0,0,6,3,1
5,13hMNE1fWmVJFBkPQw3Vwux1ikLys8kjPC,2787013,2787013,0,2,1,1,2787013.0,2787013,2787013,2787013.0,2787013,2787013,200546,0.0,0,0,0.0,0,0,6,3,1
6,bc1qzusm5vdtejhlvydd4wlazlkamtnucr9crhykqp,667702,667702,0,2,1,1,667702.0,667702,667702,667702.0,667702,667702,418936,0.0,0,0,0.0,0,0,57,6,1
7,bc1qcl9xcudxwfl0prsf0t8vlkl068w3pwqu99j524,93492423,93492423,0,75,66,66,1416551.8636363635,9821,5508642,1416551.8636363635,9821,5508642,33917430,520195.5076923077,0,9312881,514569.07692307694,0,6966568,32,66,1
8,bc1q4980m5xh7dpvcktd6hvyatrjv2dh84ajzq3z25,363738,363738,0,2,1,1,363738.0,363738,363738,363738.0,363738,363738,17641,0.0,0,0,0.0,0,0,1,3,1
9,bc1qxjjmx2hkkupz9kt7ztr9wn7vpn0ge0n3twrts8,3121734541,3121734541,0,2,1,1,3121734541.0,3121734541,3121734541,3121734541.0,3121734541,3121734541,731,0.0,0,0,0.0,0,0,1,3,1
