,Address,Total_Rec,Total_Sent,Balance,N_TX,N_Rec,N_Sent,Avg_Rec,Min_Rec,Max_Rec,Avg_Sent,Min_Sent,Max_Sent,Time_Between_FirstLast,Avg_Delta_Rec,Min_Delta_Rec,Max_Delta_Rec,Avg_Delta_Sent,Min_Delta_Sent,Max_Delta_Sent,Unique_Rec,Unique_Sent,Month,Class
0,bc1qd0a90s9wrzxva0xkvn89vwlm3ujr7k8j3mq47g,1090202,1090202,0,2,1,1,1090202.0,1090202,1090202,1090202.0,1090202,1090202,93037,0.0,0,0,0.0,0,0,5,5,,1
1,1GQdrgqAbkeEPUef1UpiTc4X1mUHMcyuGW,692323608929694,692297356284624,26252645070,469399,100,100,1562827472.41,920314,4250055812,1574646142.96,1001748,4250098947,19919,201.2020202020202,4,1244,201.2020202020202,4,1244,0,85,,1
2,19mjacrAkSkvCgMRz6aT4u6KQAUQHzA9oE,10779416,10779416,0,2,1,1,10779416.0,10779416,10779416,10779416.0,10779416,10779416,3797843,0.0,0,0,0.0,0,0,1,2,,1
3,3FadMgLwc8uCBrPzCDszHjiqJg6fMJm2W4,290969,290969,0,2,1,1,290969.0,290969,290969,290969.0,290969,290969,1515,0.0,0,0,0.0,0,0,1,68,,1
4,12LHtnEcVoTk1mJsmwwABKAe2joS8Wy7ee,1074488,1074488,0,2,1,1,1074488.0,1074488,1074488,1074488.0,1074488,1074488,1833259,0.0,0,0,0.0,0,0,5,3,,0
5,bc1q7y6xs0fnqhkdyptknp548xaqcxs2gvwjaxkzjn,18918000,18918000,0,4,2,2,9459000.0,8418000,10500000,9459000.0,8418000,10500000,1759219,0.0,0,0,0.0,0,0,18,32,,0
6,3Pq9MF7XLB46mBypL7JwMjn11NMdzGKfuK,1111648,1111648,0,2,1,1,1111648.0,1111648,1111648,1111648.0,1111648,1111648,2904,0.0,0,0,0.0,0,0,1,3,,0
7,3HzDGsDVqYzjoKaGcXHKAyEXekymEUD77t,787482,787482,0,2,1,1,787482.0,787482,787482,787482.0,787482,787482,2358,0.0,0,0,0.0,0,0,427,2,,0
8,3FvJFsNfT1kbsSzWxK5xhojMZvu2oeUv45,51286,51286,0,2,1,1,51286.0,51286,51286,51286.0,51286,51286,28112,0.0,0,0,0.0,0,0,492,1,,0
9,39zb9ozCm9D2DPZHbKgpYG2Y8JSjGQEYvZ,314620,314620,0,2,1,1,314620.0,314620,314620,314620.0,314620,314620,4187,0.0,0,0,0.0,0,0,3,1,,0
10,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,3883252526116064,3878252768358850,4999757757214,800228,150,279,77635669.36,140806,2035782175,147820768.61648744,4760,3999959300,5951,39.939597315436245,0,157,19.97841726618705,0,157,2257,2127,,1
11,13MZxtqofKHHHJgVHXU8ZoB3NBZusxZsFp,354927730,354927730,0,2,1,1,354927730.0,354927730,354927730,354927730.0,354927730,354927730,6598,0.0,0,0,0.0,0,0,13,1,,1
12,bc1qdqsvcd92kx0yl6ffn0dwxx4jr9ekmnhgzu3ya8,8739487,8739487,0,2,1,1,8739487.0,8739487,8739487,8739487.0,8739487,8739487,7657,0.0,0,0,0.0,0,0,1,3,,0
13,bc1qqwcenzqtd4pyy6723ar2cme2qgpauxgul5mnkc,440857,440857,0,2,1,1,440857.0,440857,440857,440857.0,440857,440857,0,0.0,0,0,0.0,0,0,1,3,,0
14,1B4aH6aXZdafYknW9b3KfNA76FaPJ8wGQ7,83569197,83569197,0,42,22,22,3798599.8636363638,140404,19943136,3798599.8636363638,140404,19943136,52487553,2489725.8095238097,3741,40081826,2499355.380952381,0,40284344,29,108,,1
15,1MuskruimhbiqHcS7RhNfyEiQVUuxeeGnJ,37194688,37194688,0,10,9,9,4132743.111111111,954173,6419615,4132743.111111111,954173,6419615,2676507,334479.75,42387,773001,318990.875,669,773001,1,9,,1
16,bc1qracr2cjuv3wwztqvywg52qvpsm4ze0qwhglksx,239744,239744,0,10,8,8,29968.0,400,179001,29968.0,400,179001,1446217,20218.714285714286,2761,92631,198247.7142857143,0,1387734,43,296,,1
17,39hCj3X5bdvHqUEpS2USrMKUUihSb8xaom,14199006,14199006,0,2,1,1,14199006.0,14199006,14199006,14199006.0,14199006,14199006,438,0.0,0,0,0.0,0,0,3,33,,0
18,1FN1G2XgtYkPqkpYKfyvqKJTtpnfG5Pw37,6456237956,6456066366,171590,392,99,99,6861771.656565657,21599,25721177,6890823.808080808,21599,25721177,9692171,98899.70408163265,29,840176,98899.70408163265,0,840462,4,93,,1
19,3Qmz8kcTTm7bLmGLDJtxqq8hGgfo9JLbD5,1179760,1179760,0,2,1,1,1179760.0,1179760,1179760,1179760.0,1179760,1179760,6849,0.0,0,0,0.0,0,0,3,3,,0
20,1KNhU7Y7DKARU7Gxgu59Eds2kwH25PTWAf,64661796,64661796,0,3,2,2,32330898.0,21550998,43110798,32330898.0,21550998,43110798,7292,0.0,0,0,0.0,0,0,1,3,,1
21,1DTyDp4s7cHs7WSCwDLVTC1TjMPxRvShAy,65178275,65178275,0,18,17,17,3834016.1764705884,1156,29550653,3834016.1764705884,1156,29550653,420678,11256.625,0,103390,0.0,0,0,24,91,,1
22,1MDu6TaKDnjodDfSKDX9LBySrGPRM8mrv4,514841,514841,0,2,1,1,514841.0,514841,514841,514841.0,514841,514841,22286,0.0,0,0,0.0,0,0,1,2,,0
23,1AAEga4CgZWCu63qhaq8PuXtEykjp5Jykk,7281287,7281287,0,2,1,1,7281287.0,7281287,7281287,7281287.0,7281287,7281287,0,0.0,0,0,0.0,0,0,4,2,,0
24,1GrjYD6KmTqHFQfbdSQLioZqEbpqv7k8kq,900000,900000,0,2,1,1,900000.0,900000,900000,900000.0,900000,900000,57797,0.0,0,0,0.0,0,0,412,3,,0
25,16FuWNMRdtS6Nr3zdKNrcyXT7KpWYmkbGT,20727432,20727432,0,2,1,1,20727432.0,20727432,20727432,20727432.0,20727432,20727432,2318,0.0,0,0,0.0,0,0,6,2,,1
26,36WyoHs3gfLz7HwCiXsn6Cv5ZFSf1cUg1e,5959162,5959162,0,9,6,6,993193.6666666666,99792,1609020,993193.6666666666,99792,1609020,28755526,4900470.8,0,24076889,921704.4,0,3921866,434,154,,1
27,bc1q7tcrl9c7353h7cx560h9anz3697rf9wvlpgfkw,197682277,197682277,0,50,31,31,6376847.645161291,145000,31784000,6376847.645161291,145000,31784000,10185268,339148.8,62,3461026,337293.06666666665,0,3051392,169,845,,1
28,1Gm5Dc9Ao4sByDkFB9AGJckA2QBTEACf81,24574884,24574884,0,314,51,53,190279.3725490196,25648,870000,186647.0,25648,870000,17426325,343216.02,38,9633399,335121.6346153846,0,9639020,1491,236,,1
29,1HQ35sf5aDhxZPHErPQubpgYhUN8Kc5EK8,145841043,145841043,0,12,6,6,24306840.5,1095971,56524490,24306840.5,1095971,56524490,124595,24838.8,4846,75217,24456.2,464,44885,299,26,,1
30,1Cia8MnaC51fK73pv5mdbbuEbsYPbkRr7G,14406594,14406594,0,28,20,20,720329.7,23904,1907190,720329.7,23904,1907190,1510782,49503.31578947369,0,199908,78181.21052631579,0,518650,59,688,,0
31,bc1qwc5an8spsc0zwq3psfz0607rneg6u4swjjgk6v,372060208,372060208,0,2,1,1,372060208.0,372060208,372060208,372060208.0,372060208,372060208,414,0.0,0,0,0.0,0,0,1,189,,0
