"","label","wallet_id","txs_count","balance","total_received","total_sent","total_life","addresses_count","avg_incoming_tx_per_address","total_incoming_tx","fraction_unique_addr_count","wallet_alias","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received"
"1","affiliatemarketing","0003169e977310c8",5492,4e-08,2254,546,99046743,2979,2.47266666666667,3709,1.84357166834508,"CoinURL.com",1e-08,2107.24101642,1.593917126,13941.99309735,31.1497921335574,970.309549963833,1e-08,2101.64250231,0.377490733,13941.11026003,14.8091695077692,219.31150150984
"2","affiliatemarketing","006772dc17cc7a9b",2059,0,1088,12,37276868,2023,1.03090909090909,1134,1.01779535343549,"BitClix.com",8e-06,150.42965105,0.416463529,1584.64372884,4.06858424062038,16.5533777230245,8.21e-06,150.41965105,0.571705858,1584.19693241,4.71157013760057,22.1988931615295
"3","criminals","0000574fc82c8206",500260,1008.29315714,490517,9243,96190750,75369,15.3216309092598,1154776,6.6374769467553,"0000574fc82c8206",1e-08,29945.22423105,12.126415402,50058109.5603109,199.986308086166,39994.5234219348,0,29908.27228479,1.723794699,50056717.4698588,75.2653359332456,5664.87079314431
"4","cybersec","16ea99d640cb18cc",1049,0.0021229,1043,6,15526485,35,29.9714285714286,1049,29.9714285714286,"SecureVPN.to",6e-06,166.63798036,0.988701495,3155.93517092,5.90754237651172,34.8990569302817,6e-06,166.43007979,0.017959172,3155.10331942,0.773300865666567,0.597994228840661
"5","cybersec","05390109c87b32ee",537,1e-04,533,4,16569579,22,24.3181818181818,535,24.4090909090909,"SecureVPN.to-old",1e-08,268.212526,0.599079812,901.61511657,7.65875463789106,58.6565226034178,1e-08,265.07981204,0.442322368,901.45298638,6.44145588834157,41.4923539614503
"6","darkmarket","000078c74c35206a",616440,30.5572589,210703,89097,49228638,189776,4.88114,488114,3.24825056909198,"AlphaBayMarket",1e-08,7414.5150675,2.48251487,1652309.76477415,32.3590151204413,1047.10585956495,8.4e-07,6627.279954,1.690436869,1652161.99753518,24.2249176344352,586.846634395172
"7","darkmarket","00adc4a2b0fbd07c",1364,0.00879364,1294,70,91717366,965,1.40932642487047,1360,1.41347150259067,"GreenRoadMarket",1e-08,4832.437,4.154799995,15784.08518144,80.4052275740943,6465.00062124189,5.1e-07,4118.0705,2.620833139,15782.65716194,55.0792820671128,3033.72731302857
"8","darkmarket","0000760488fc90cd",8250,0.54747249,7679,571,52991522,7151,1.12375891483709,8036,1.15368479932877,"AlphaBayMarket-old",6.1e-07,665.11943088,1.979191642,52462.43285624,14.0610884417301,197.714208166155,4e-07,634.18810776,2.063466932,52459.51982117,14.0305506120184,196.856350476409
"9","darkmarket","0000a3a375c51032",97133,23.45667103,72245,24888,183736755,53639,1.77540595462257,95231,1.81086522865825,"SheepMarketplace",1e-08,14000,10.437221956,2422614.89988041,80.8987668669339,6544.61048059052,1e-08,8221.16650975,4.845176273,2422573.60072612,52.1406475292335,2718.64712476776
"10","darkmarket","0001210e68c46db4",87989,3.92356335,61748,26241,79144092,50878,1.68589567199969,85775,1.72941153347223,"BlackBankMarket",1e-08,2999,2.162908596,482326.45401296,18.597492696217,345.866734585843,1e-08,2998.508435,1.615521141,482313.83675332,15.857271740905,251.453067064904
"11","darkmarket","001e9eea95a6f803",12110,0.05441446,6071,6039,75632913,2829,2.32732414280665,6584,4.28066454577589,"CannabisRoadMarket",1e-08,16.16788734,0.219228577,4272.76495765,0.630757177583314,0.397854617072868,1e-08,50,0.220440345,4271.47256457,0.96362109384886,0.928565612510473
"12","darkmarket","000052c2391e8192",241670,0.0041,177485,63985,165697217,119119,1.91879447819256,228373,2.02881152460984,"AbraxasMarket",1e-08,3890.53479545,2.885808265,1686016.16401278,33.0988585210944,1095.53443539942,1e-08,3888.47949895,2.047208057,1685959.7704402,27.0760469868177,733.11232043236
"13","darkmarket","000041317dfea6fd",107052,0.00330245,70787,36165,139859152,34149,3.92649857975343,134086,3.13485021523324,"MiddleEarthMarketplace",1e-08,5531.11796977,3.05806992,880286.83304965,33.8432386181738,1145.36480016665,1e-08,5389.48956977,1.941885466,880260.56531138,25.8694223223706,669.227011293164
"14","darkmarket","0013f03706fe90eb",11943,0.12493414,8461,3482,61873392,5762,1.79868101353697,10364,2.07271780631725,"DoctorDMarket",1e-08,4362.11818949,2.590054058,74746.37005178,33.2570498248232,1106.03136305077,4e-08,4361.65587599,1.360352281,74741.83534998,24.0009976982915,576.047890513393
"15","darkmarket","0013f03706fe90eb",11943,0.12493414,8461,3482,61873392,5762,1.79868101353697,10364,2.07271780631725,"MrNiceGuyMarket",1e-08,4362.11818949,2.590054058,74746.37005178,33.2570498248232,1106.03136305077,4e-08,4361.65587599,1.360352281,74741.83534998,24.0009976982915,576.047890513393
"16","darkmarket","0025ef6357663859",3796,0.0009379,2481,1315,56589448,1471,2.10537049626105,3097,2.5805574439157,"BabylonMarket",1e-08,5867.27635664,4.148153052,41058.41890983,89.4069445315857,7993.60173047403,1e-08,5683.37086636,1.435465822,41057.19343657,51.0734804942791,2608.5004097995
"17","darkmarket","0006d66216d5dcdc",51817,0.1140804,34940,16877,107982452,4629,7.62799740764744,35310,11.1939943832361,"GermanPlazaMarket",1e-08,2156.35264884,1.725247164,144532.58112255,19.9820111456387,399.280769424428,3e-08,2111.33159005,1.198081568,144519.78718689,16.1261094085823,260.051404657567
"18","darkmarket","010d441f13adaf57",940,1e-04,622,318,28205584,345,2.11014492753623,728,2.72463768115942,"BraveBunnyMarket",1e-08,537.03304623,3.548485295,7015.3554278,23.7495316055064,564.040251480949,1e-08,526.86293311,2.113021679,7015.23197325,17.861339930149,319.027464100336
"19","darkmarket","0000d9a5c977c03b",108578,0,76049,32429,133725145,55757,1.80877737324462,100852,1.94734293451943,"PandoraOpenMarket",1e-08,5500,3.00619866,882193.04641149,39.1800816782875,1535.07880031728,1e-08,3000,1.253773093,882173.55506839,22.9341961473281,525.977352924117
"20","exchange","000485f52b1ec2e4",48596,0.17600273,42049,6547,205497713,23841,1.91506228765572,45657,2.03833731806552,"Paymium.com",1e-08,15925.03344351,8.544356228,2118598.75967788,105.998694618778,11235.7232608849,1e-08,15915.00192627,0.540200457,2118507.91179615,25.8196630675397,666.655000921275
"21","exchange","001b88e761708e7a",11264,0.00151953,8815,2449,160442146,1948,5.10677618069815,9948,5.782340862423,"GoCelery.com",1e-08,2888.41633381,12.644390001,503044.41181713,88.7992948401381,7885.31476410578,1e-08,2778.01717737,0.078444209,503097.14970927,3.03909868674173,9.23612082775529
"22","exchange","0005aaebd16a3408",5322,0.00714545,4177,1145,165428942,2618,1.77272727272727,4641,2.03284950343774,"BitNZ.com",1e-08,5447.48094062,13.441434143,194578.20064739,110.844835058724,12286.5774591957,1e-08,5435.48084062,0.177915948,194741.10345839,12.4715700487662,155.540059481282
"23","exchange","009a5d78c8025769",1546,0,1327,219,77139046,1314,1.02359208523592,1345,1.1765601217656,"Bylls.com",1e-08,1137.71534831,3.581518712,24898.71808342,29.9516663259104,897.102315698674,1e-08,1123.07544831,5.035079651,24898.46887237,34.8292446084891,1213.07627999797
"24","exchange","2f2aa3d1276ef133",17238,0,2904,14334,143507668,4,727.5,2910,4309.5,"FoxBit.com.br",5.59e-06,292.3789909,9.069381903,240111.88588631,12.7254096705452,161.936051283206,6e-06,275.26485529,7.414234717,240109.99130804,11.7847971688132,138.881444310067
"25","exchange","00755116d31e66d2",3789,5.67e-06,2099,1690,95774997,382,5.67015706806283,2166,9.91884816753927,"FoxBit.com.br-2",1e-08,2235.66224033,5.856599452,43139.71156613,49.951502575368,2495.15260953699,1e-08,1981.64876977,0.045330316,43131.79551204,3.74517967860036,14.0263708250011
"26","exchange","000da2cb9fa44e0b",69505,0.00186852,65765,3740,154826257,3065,22.3605220228385,68535,22.6769983686786,"FoxBit.com.br-cold",4.42e-06,635.92901709,1.371699103,223575.98016037,9.76399215199409,95.3355427442021,5.4e-06,635.91115772,1.558581849,223564.53900351,11.8698488254766,140.893311139669
"27","exchange","00c67da680777bec",2922,0.02246,2634,288,25644860,219,12.9360730593607,2833,13.3424657534247,"FoxBit.com.br-cold-old",5.59e-06,50,2.163362234,11904.98237477,3.94004765865144,15.5239755524447,5.59e-06,64.73,3.648387917,11904.68977477,7.04645714061781,49.6525582345638
"28","exchange","000159305548e5f7",92737,0.04782294,64887,27850,217259291,33436,2.43746261514535,81499,2.7735674123699,"Vircurex.com",1e-08,7343.82977858,6.875265918,1731790.10619306,68.8784790380321,4744.24487459262,1e-08,7235.76960797,0.214683595,1732903.22431745,11.3914732077028,129.76566184181
"29","exchange","0007ca4d23f88fa1",92158,0,47718,44440,94742478,5024,18.5059713375796,92974,18.343550955414,"BitVC.com",1e-08,24331.40396631,51.226305945,10460719.0318077,282.07128356588,79564.2090125028,1e-08,24329.40386631,3.018885583,10460821.942234,66.1032888921799,4369.64480236299
"30","exchange","00072ed867fce632",90815,0.16160718,89732,1083,161350859,8430,14.0897983392645,118777,10.7728351126928,"Exmo.com",1e-08,5045.54029732,4.099856899,2055988.03779366,42.784937294455,1830.55085929045,1e-08,5045.50194561,0.133635063,2055967.95772664,6.32315249040484,39.982257416913
